Publication,learning,neural,vision
1996_135,2,12,0
1996_136,2,40,0
1996_137,19,5,0
1996_138,0,8,0
1996_139,17,7,0
1996_140,1,9,1
1996_141,65,6,0
1996_142,31,5,0
1996_143,37,0,0
1996_144,55,0,0
1996_145,12,0,0
1996_146,152,7,2
1996_147,47,6,0
1996_148,30,0,0
1996_149,42,3,0
1996_150,11,7,0
1996_151,28,2,0
1996_152,22,3,0
1997_1,9,9,2
1997_2,7,14,2
1997_3,12,8,1
1997_4,0,7,0
1997_5,36,4,0
1997_6,1,0,0
1997_7,12,3,0
1997_8,1,1,0
1997_9,7,0,0
1997_10,0,0,1
1997_11,16,3,0
1997_12,5,10,0
1997_13,12,7,0
1997_14,0,11,0
1997_15,0,10,2
1997_16,0,7,1
1997_17,37,4,1
1997_18,3,1,0
1997_19,3,13,0
1997_20,0,1,0
1997_21,55,2,0
1997_22,0,5,0
1997_23,0,0,0
1997_24,1,18,1
1997_25,1,3,5
1997_26,0,2,1
1997_27,0,12,5
1997_28,2,16,0
1997_29,0,6,0
1997_30,1,4,2
1997_31,18,5,2
1997_32,1,6,0
1997_33,1,7,0
1997_34,0,2,5
1997_35,30,7,0
1997_36,1,12,0
1997_37,4,3,0
1997_38,2,13,0
1997_39,1,1,0
1997_40,26,3,0
1997_41,13,6,0
1997_42,0,9,0
1997_43,17,4,0
1997_44,3,3,0
1997_45,1,5,0
1997_46,39,5,0
1997_47,0,16,0
1997_48,14,4,0
1997_49,4,0,1
1997_50,5,5,0
1997_51,25,2,0
1997_52,26,1,0
1997_53,6,15,0
1997_54,2,4,0
1997_55,28,6,0
1997_56,18,15,0
1997_57,6,13,0
1997_58,9,3,0
1997_59,10,4,0
1997_60,27,10,1
1997_61,2,2,0
1997_62,17,2,0
1997_63,19,0,0
1997_64,55,0,0
1997_65,16,7,0
1997_66,2,1,0
1997_67,7,11,0
1997_68,1,1,0
1997_69,27,3,1
1997_70,0,10,0
1997_71,23,0,0
1997_72,1,0,0
1997_73,35,2,0
1997_74,20,7,0
1997_75,6,2,3
1997_76,4,1,0
1997_77,4,0,0
1997_78,8,8,0
1997_79,24,2,0
1997_80,0,3,0
1997_81,36,0,1
1997_82,0,3,0
1997_83,6,3,0
1997_84,66,10,0
1997_85,10,10,1
1997_86,30,18,0
1997_87,29,0,0
1997_88,4,4,0
1997_89,18,4,1
1997_90,14,6,0
1997_91,7,4,0
1997_92,20,20,0
1997_93,45,13,0
1997_94,12,14,0
1997_95,13,4,0
1997_96,16,13,1
1997_97,14,4,0
1997_98,0,2,2
1997_99,17,5,0
1997_100,3,24,0
1997_101,0,1,0
1997_102,0,7,0
1997_103,0,9,10
1997_104,5,12,0
1997_105,2,8,0
1997_106,0,3,0
1997_107,2,3,0
1997_108,1,32,0
1997_109,2,2,2
1997_110,1,2,5
1997_111,2,0,6
1997_112,0,4,2
1997_113,0,0,0
1997_114,0,10,3
1997_115,24,2,0
1997_116,0,1,5
1997_117,21,0,3
1997_118,0,0,2
1997_119,0,1,2
1997_120,2,3,5
1997_121,8,7,8
1997_122,2,1,1
1997_123,0,1,6
1997_124,0,3,3
1997_125,27,24,0
1997_126,7,8,0
1997_127,16,5,0
1997_128,15,37,2
1997_129,0,0,0
1997_130,19,3,0
1997_131,45,2,0
1997_132,19,5,0
1997_133,10,18,0
1997_134,2,4,1
1997_135,9,10,0
1997_136,11,20,0
1997_137,9,35,0
1997_138,3,14,0
1997_139,3,14,0
1997_140,33,18,0
1997_141,26,1,0
1997_142,76,2,1
1997_143,2,0,0
1997_144,39,0,0
1997_145,11,0,0
1997_146,19,1,0
1997_147,55,5,0
1997_148,42,2,0
1997_149,10,0,0
1997_150,47,2,0
1997_151,120,4,0
1998_1,18,12,0
1998_2,16,11,1
1998_3,8,4,0
1998_4,1,2,0
1998_5,43,8,0
1998_6,1,7,0
1998_7,65,0,0
1998_8,17,7,0
1998_9,59,2,0
1998_10,23,12,0
1998_11,8,4,0
1998_12,8,4,0
1998_13,0,0,0
1998_14,3,4,0
1998_15,0,2,1
1998_16,0,7,0
1998_17,0,5,0
1998_18,44,4,0
1998_19,0,3,0
1998_20,22,1,0
1998_21,0,6,0
1998_22,1,8,5
1998_23,20,7,1
1998_24,0,3,0
1998_25,0,10,2
1998_26,9,5,0
1998_27,6,11,0
1998_28,35,5,0
1998_29,15,4,0
1998_30,0,8,0
1998_31,4,7,0
1998_32,13,1,0
1998_33,9,8,0
1998_34,4,5,0
1998_35,1,1,0
1998_36,11,2,0
1998_37,2,4,0
1998_38,0,12,0
1998_39,0,12,1
1998_40,0,43,0
1998_41,7,3,0
1998_42,7,26,0
1998_43,9,6,0
1998_44,5,17,0
1998_45,22,2,0
1998_46,3,7,0
1998_47,8,5,0
1998_48,2,7,0
1998_49,33,2,0
1998_50,7,8,0
1998_51,19,8,0
1998_52,11,2,0
1998_53,18,4,1
1998_54,0,5,0
1998_55,34,1,3
1998_56,41,0,0
1998_57,20,7,0
1998_58,3,17,0
1998_59,5,0,0
1998_60,0,1,0
1998_61,22,2,0
1998_62,10,4,1
1998_63,6,7,0
1998_64,2,3,0
1998_65,11,16,0
1998_66,20,10,1
1998_67,1,3,0
1998_68,3,2,2
1998_69,1,2,1
1998_70,1,6,1
1998_71,6,1,0
1998_72,22,7,1
1998_73,15,7,0
1998_74,13,18,0
1998_75,0,6,0
1998_76,1,2,0
1998_77,6,2,0
1998_78,0,9,2
1998_79,8,1,0
1998_80,15,4,0
1998_81,0,5,0
1998_82,16,3,0
1998_83,2,1,0
1998_84,0,3,0
1998_85,1,2,0
1998_86,11,0,3
1998_87,1,9,0
1998_88,4,7,0
1998_89,0,1,0
1998_90,2,4,0
1998_91,1,0,8
1998_92,18,5,0
1998_93,0,8,4
1998_94,25,18,0
1998_95,8,3,0
1998_96,2,4,0
1998_97,0,5,7
1998_98,0,4,0
1998_99,0,2,4
1998_100,0,1,8
1998_101,6,8,1
1998_102,9,1,1
1998_103,1,1,0
1998_104,2,18,0
1998_105,0,3,0
1998_106,7,0,0
1998_107,35,2,1
1998_108,6,1,1
1998_109,16,4,14
1998_110,10,1,4
1998_111,0,2,1
1998_112,0,12,1
1998_113,2,0,3
1998_114,55,7,8
1998_115,0,0,6
1998_116,0,1,5
1998_117,0,4,2
1998_118,8,0,5
1998_119,2,10,4
1998_120,15,3,0
1998_121,0,4,1
1998_122,0,6,0
1998_123,7,13,0
1998_124,9,31,0
1998_125,8,3,0
1998_126,0,0,4
1998_127,32,2,0
1998_128,4,0,4
1998_129,44,3,0
1998_130,8,1,3
1998_131,2,5,0
1998_132,7,16,2
1998_133,3,1,0
1998_134,14,6,0
1998_135,13,1,0
1998_136,65,2,0
1998_137,7,4,0
1998_138,41,1,0
1998_139,20,1,0
1998_140,51,1,0
1998_141,18,0,0
1998_142,10,0,0
1998_143,43,0,0
1998_144,15,2,0
1998_145,34,2,0
1998_146,72,7,1
1998_147,70,1,0
1998_148,25,5,0
1998_149,47,1,0
1998_150,24,0,0
1998_151,47,1,0
1999_1,4,2,0
1999_2,0,9,1
1999_3,21,4,0
1999_4,23,2,0
1999_5,2,6,0
1999_6,0,1,4
1999_7,1,10,0
1999_8,14,15,0
1999_9,30,1,0
1999_10,83,5,0
1999_11,57,4,0
1999_12,1,8,0
1999_13,0,5,1
1999_14,68,6,0
1999_15,0,1,0
1999_16,0,0,0
1999_17,0,20,0
1999_18,16,3,0
1999_19,13,5,0
1999_20,0,8,2
1999_21,0,12,0
1999_22,20,7,0
1999_23,18,6,0
1999_24,51,6,0
1999_25,1,8,0
1999_26,3,10,0
1999_27,0,8,1
1999_28,0,11,0
1999_29,52,17,0
1999_30,6,2,0
1999_31,30,1,0
1999_32,4,3,0
1999_33,4,3,0
1999_34,40,8,0
1999_35,2,1,0
1999_36,7,8,0
1999_37,42,0,0
1999_38,13,10,0
1999_39,0,1,0
1999_40,3,4,0
1999_41,53,4,0
1999_42,2,20,0
1999_43,40,1,0
1999_44,12,1,0
1999_45,0,12,0
1999_46,35,5,0
1999_47,1,40,0
1999_48,0,21,0
1999_49,3,2,0
1999_50,1,2,0
1999_51,19,3,0
1999_52,13,7,0
1999_53,8,5,0
1999_54,5,15,0
1999_55,20,0,0
1999_56,11,3,0
1999_57,6,28,0
1999_58,23,9,0
1999_59,6,5,0
1999_60,2,0,0
1999_61,30,5,1
1999_62,6,7,0
1999_63,39,5,1
1999_64,4,5,0
1999_65,5,1,0
1999_66,8,9,1
1999_67,3,0,0
1999_68,14,6,0
1999_69,4,0,0
1999_70,7,9,0
1999_71,15,0,0
1999_72,1,0,2
1999_73,17,2,0
1999_74,35,0,0
1999_75,5,6,0
1999_76,3,0,0
1999_77,5,1,0
1999_78,10,7,0
1999_79,1,3,0
1999_80,25,4,0
1999_81,11,2,0
1999_82,0,2,0
1999_83,12,0,0
1999_84,3,9,0
1999_85,5,1,0
1999_86,7,3,0
1999_87,22,0,0
1999_88,1,3,0
1999_89,48,5,0
1999_90,1,5,0
1999_91,2,6,0
1999_92,3,1,0
1999_93,6,5,0
1999_94,1,0,0
1999_95,6,12,0
1999_96,2,4,0
1999_97,3,6,0
1999_98,4,11,0
1999_99,10,7,0
1999_100,14,4,0
1999_101,1,5,8
1999_102,0,5,0
1999_103,1,10,0
1999_104,0,4,0
1999_105,0,3,0
1999_106,0,17,0
1999_107,1,6,0
1999_108,1,18,0
1999_109,0,5,0
1999_110,0,0,0
1999_111,30,0,0
1999_112,27,20,0
1999_113,0,0,0
1999_114,1,0,0
1999_115,0,1,4
1999_116,6,1,3
1999_117,3,6,1
1999_118,4,11,4
1999_119,20,1,2
1999_120,2,2,1
1999_121,0,2,2
1999_122,41,7,7
1999_123,0,1,0
1999_124,20,14,0
1999_125,15,6,4
1999_126,27,2,0
1999_127,33,2,0
1999_128,0,6,0
1999_129,26,2,0
1999_130,7,10,0
1999_131,1,3,0
1999_132,1,15,0
1999_133,1,2,0
1999_134,1,11,0
1999_135,10,0,0
1999_136,4,5,1
1999_137,8,0,0
1999_138,24,0,4
1999_139,36,3,0
1999_140,41,0,0
1999_141,17,3,0
1999_142,17,1,0
1999_143,21,0,0
1999_144,10,0,0
1999_145,1,12,0
1999_146,29,10,0
1999_147,4,0,0
1999_148,47,1,0
1999_149,27,2,0
1999_150,25,1,1
2000_1,0,17,0
2000_2,0,17,0
2000_3,35,0,0
2000_4,1,7,0
2000_5,45,4,4
2000_6,0,3,0
2000_7,10,3,0
2000_8,7,2,0
2000_9,2,1,2
2000_10,20,0,0
2000_11,5,3,0
2000_12,17,35,0
2000_13,1,2,0
2000_14,0,0,0
2000_15,13,19,1
2000_16,0,6,0
2000_17,27,1,0
2000_18,0,0,0
2000_19,7,1,0
2000_20,24,4,0
2000_21,45,16,1
2000_22,21,3,0
2000_23,9,9,0
2000_24,82,7,0
2000_25,0,1,0
2000_26,3,0,7
2000_27,30,2,1
2000_28,9,4,0
2000_29,1,4,0
2000_30,23,1,0
2000_31,0,0,9
2000_32,0,3,2
2000_33,6,1,0
2000_34,28,5,0
2000_35,6,14,0
2000_36,53,0,0
2000_37,1,7,1
2000_38,15,4,1
2000_39,16,2,2
2000_40,5,3,1
2000_41,1,1,0
2000_42,19,2,0
2000_43,26,3,0
2000_44,25,2,0
2000_45,16,3,0
2000_46,30,1,0
2000_47,8,3,0
2000_48,1,6,1
2000_49,0,0,0
2000_50,3,6,0
2000_51,5,1,0
2000_52,21,5,0
2000_53,15,0,0
2000_54,44,0,0
2000_55,17,7,0
2000_56,17,7,0
2000_57,49,11,0
2000_58,7,0,0
2000_59,55,3,0
2000_60,33,1,0
2000_61,1,5,0
2000_62,2,6,0
2000_63,8,6,0
2000_64,6,3,0
2000_65,4,3,11
2000_66,6,3,0
2000_67,9,4,3
2000_68,3,18,0
2000_69,7,7,0
2000_70,38,6,1
2000_71,10,1,0
2000_72,6,7,0
2000_73,9,8,0
2000_74,5,2,0
2000_75,16,3,0
2000_76,27,3,0
2000_77,14,0,4
2000_78,0,4,0
2000_79,5,6,0
2000_80,2,6,2
2000_81,8,12,0
2000_82,9,10,1
2000_83,32,2,0
2000_84,3,11,0
2000_85,2,0,1
2000_86,2,4,0
2000_87,19,18,0
2000_88,11,2,0
2000_89,34,2,0
2000_90,2,11,2
2000_91,23,2,2
2000_92,38,2,0
2000_93,11,0,0
2000_94,0,3,0
2000_95,4,6,2
2000_96,6,3,0
2000_97,21,1,1
2000_98,3,6,0
2000_99,17,0,5
2000_100,29,2,0
2000_101,0,0,0
2000_102,25,4,0
2000_103,0,30,1
2000_104,7,5,0
2000_105,2,17,3
2000_106,24,0,0
2000_107,32,8,0
2000_108,26,1,0
2000_109,3,2,0
2000_110,4,2,0
2000_111,1,0,0
2000_112,26,2,0
2000_113,6,2,0
2000_114,0,5,0
2000_115,0,11,0
2000_116,20,1,1
2000_117,7,0,0
2000_118,0,3,1
2000_119,0,2,0
2000_120,56,1,0
2000_121,3,5,0
2000_122,0,0,1
2000_123,0,4,0
2000_124,0,0,2
2000_125,0,0,0
2000_126,23,5,0
2000_127,8,0,3
2000_128,2,2,0
2000_129,3,4,0
2000_130,39,12,0
2000_131,1,3,0
2000_132,14,8,0
2000_133,3,0,3
2000_134,21,5,0
2000_135,26,2,0
2000_136,17,2,0
2001_1,8,0,0
2001_2,9,1,0
2001_3,39,1,0
2001_4,5,27,0
2001_5,0,0,0
2001_6,1,0,0
2001_7,1,3,0
2001_8,0,0,0
2001_9,2,0,0
2001_10,19,2,0
2001_11,26,2,0
2001_12,5,5,3
2001_13,2,1,0
2001_14,2,4,0
2001_15,9,11,0
2001_16,51,2,0
2001_17,0,1,0
2001_18,3,0,0
2001_19,14,3,0
2001_20,2,0,0
2001_21,87,1,0
2001_22,65,9,0
2001_23,59,0,0
2001_24,24,3,0
2001_25,12,3,0
2001_26,5,0,0
2001_27,22,0,0
2001_28,11,5,0
2001_29,19,2,0
2001_30,25,4,0
2001_31,5,1,0
2001_32,51,0,0
2001_33,49,5,0
2001_34,1,0,0
2001_35,23,7,3
2001_36,14,12,0
2001_37,4,0,0
2001_38,11,0,0
2001_39,0,4,0
2001_40,23,4,0
2001_41,4,0,0
2001_42,19,11,0
2001_43,24,3,0
2001_44,22,18,0
2001_45,35,5,0
2001_46,1,0,0
2001_47,1,11,2
2001_48,15,0,0
2001_49,0,3,1
2001_50,4,10,2
2001_51,0,3,0
2001_52,45,13,0
2001_53,52,1,0
2001_54,30,0,0
2001_55,8,13,0
2001_56,12,2,0
2001_57,2,4,0
2001_58,2,5,0
2001_59,17,0,0
2001_60,13,6,0
2001_61,10,1,0
2001_62,3,50,0
2001_63,10,2,0
2001_64,1,1,0
2001_65,26,4,0
2001_66,5,0,0
2001_67,31,3,0
2001_68,5,3,0
2001_69,8,0,0
2001_70,36,4,0
2001_71,48,7,0
2001_72,6,1,0
2001_73,13,5,0
2001_74,14,7,0
2001_75,1,4,0
2001_76,18,2,0
2001_77,12,6,0
2001_78,0,1,0
2001_79,0,0,0
2001_80,3,3,0
2001_81,6,5,0
2001_82,0,5,0
2001_83,12,1,0
2001_84,0,8,0
2001_85,4,14,1
2001_86,4,4,0
2001_87,7,5,5
2001_88,0,0,0
2001_89,0,2,4
2001_90,0,4,16
2001_91,2,0,0
2001_92,0,2,9
2001_93,4,3,11
2001_94,28,1,2
2001_95,0,1,0
2001_96,13,1,2
2001_97,6,0,9
2001_98,0,10,5
2001_99,16,2,9
2001_100,23,2,5
2001_101,4,2,2
2001_102,27,0,2
2002_1,6,1,0
2002_2,2,4,0
2002_3,44,2,0
2002_4,23,4,1
2002_5,9,9,0
2002_6,2,5,0
2002_7,62,1,0
2002_8,8,1,0
2002_9,8,3,0
2002_10,6,1,0
2002_11,4,0,2
2002_12,18,5,1
2002_13,10,8,0
2002_14,8,0,0
2002_15,10,0,0
2002_16,35,0,1
2002_17,15,0,0
2002_18,4,1,0
2002_19,68,1,0
2002_20,1,1,0
2002_21,7,1,0
2002_22,29,7,0
2002_23,10,2,0
2002_24,1,2,0
2002_25,0,0,4
2002_26,17,0,0
2002_27,9,4,0
2002_28,19,7,0
2002_29,15,2,0
2002_30,7,6,0
2002_31,14,6,0
2002_32,14,1,0
2002_33,4,0,0
2002_34,4,3,1
2002_35,11,2,0
2002_36,4,3,0
2002_37,3,2,0
2002_38,47,6,0
2002_39,0,1,0
2002_40,11,2,0
2002_41,1,0,0
2002_42,4,2,0
2002_43,3,8,0
2002_44,5,2,0
2002_45,5,5,0
2002_46,9,8,0
2002_47,10,4,0
2002_48,5,7,0
2002_49,22,3,0
2002_50,17,1,0
2002_51,11,0,0
2002_52,18,0,0
2002_53,6,0,0
2002_54,1,6,1
2002_55,28,3,0
2002_56,3,1,0
2002_57,23,4,0
2002_58,46,0,0
2002_59,11,4,0
2002_60,3,3,0
2002_61,0,5,0
2002_62,21,0,0
2002_63,10,4,0
2002_64,37,4,4
2002_65,14,12,0
2002_66,29,0,0
2002_67,26,5,0
2002_68,0,1,0
2002_69,2,1,0
2002_70,21,3,0
2002_71,2,0,4
2002_72,1,1,0
2002_73,0,0,0
2002_74,3,1,0
2002_75,19,3,0
2002_76,0,1,0
2002_77,16,0,0
2002_78,14,1,0
2002_79,79,0,0
2002_80,18,3,0
2002_81,0,0,0
2002_82,8,0,0
2002_83,41,4,0
2002_84,17,12,1
2002_85,41,5,0
2002_86,9,1,0
2002_87,14,3,0
2002_88,17,5,0
2002_89,4,0,1
2002_90,2,1,0
2002_91,2,0,0
2002_92,3,3,0
2002_93,6,3,0
2002_94,12,1,0
2002_95,28,0,0
2002_96,27,5,0
2002_97,12,0,0
2002_98,0,0,0
2002_99,7,1,0
2002_100,3,2,0
2002_101,3,2,0
2002_102,0,0,0
2002_103,15,0,0
2002_104,20,3,0
2002_105,8,0,0
2002_106,11,2,0
2002_107,0,6,1
2002_108,0,16,0
2002_109,3,33,0
2002_110,14,17,0
2002_111,1,0,0
2002_112,11,12,8
2002_113,60,25,0
2002_114,40,7,0
2002_115,0,2,0
2002_116,6,5,0
2002_117,0,0,0
2002_118,0,17,0
2002_119,1,5,1
2002_120,3,3,2
2002_121,1,45,2
2002_122,14,18,3
2002_123,22,3,0
2002_124,26,1,0
2002_125,9,6,0
2002_126,12,12,2
2002_127,0,22,3
2002_128,0,9,0
2002_129,1,28,13
2002_130,0,14,0
2002_131,0,31,0
2002_132,4,3,0
2002_133,0,10,1
2002_134,4,3,3
2002_135,10,2,14
2002_136,32,4,3
2002_137,9,5,3
2002_138,1,0,1
2002_139,29,5,5
2002_140,4,2,0
2002_141,2,3,1
2002_142,7,0,9
2002_143,0,4,4
2002_144,22,1,0
2002_145,10,2,4
2002_146,6,1,10
2002_147,5,6,3
2002_148,31,5,0
2002_149,22,3,5
2002_150,6,0,2
2002_151,0,0,0
2002_152,43,3,4
2003_1,1,0,1
2003_2,4,2,0
2003_3,9,3,1
2003_4,12,0,0
2003_5,19,3,0
2003_6,40,2,0
2003_7,5,1,0
2003_8,2,3,5
2003_9,25,4,0
2003_10,10,2,0
2003_11,9,2,0
2003_12,1,1,0
2003_13,1,1,1
2003_14,5,2,0
2003_15,6,2,0
2003_16,19,0,0
2003_17,20,7,0
2003_18,2,5,1
2003_19,3,3,1
2003_20,4,1,1
2003_21,1,8,0
2003_22,3,1,0
2003_23,13,5,2
2003_24,22,7,3
2003_25,1,1,0
2003_26,9,12,0
2003_27,21,10,0
2003_28,34,5,0
2003_29,9,1,0
2003_30,51,2,0
2003_31,1,2,0
2003_32,15,3,0
2003_33,28,0,0
2003_34,4,3,0
2003_35,1,20,0
2003_36,8,1,0
2003_37,2,1,0
2003_38,12,8,1
2003_39,33,0,2
2003_40,8,0,0
2003_41,25,0,0
2003_42,0,7,0
2003_43,9,4,0
2003_44,17,0,0
2003_45,11,2,0
2003_46,3,6,0
2003_47,1,0,0
2003_48,14,0,0
2003_49,2,1,2
2003_50,1,0,0
2003_51,2,0,0
2003_52,1,0,3
2003_53,19,5,0
2003_54,0,0,0
2003_55,0,1,0
2003_56,5,2,0
2003_57,38,4,0
2003_58,23,2,0
2003_59,19,5,1
2003_60,6,4,0
2003_61,0,0,0
2003_62,7,2,0
2003_63,19,0,0
2003_64,0,2,0
2003_65,12,2,0
2003_66,22,1,0
2003_67,3,4,0
2003_68,7,2,0
2003_69,14,3,0
2003_70,7,0,1
2003_71,2,0,0
2003_72,3,0,0
2003_73,3,0,0
2003_74,1,0,0
2003_75,10,5,0
2003_76,7,0,0
2003_77,2,0,0
2003_78,0,0,0
2003_79,4,0,0
2003_80,8,1,7
2003_81,7,1,0
2003_82,1,0,0
2003_83,9,0,0
2003_84,1,0,2
2003_85,0,6,0
2003_86,4,1,0
2003_87,3,5,0
2003_88,11,7,0
2003_89,21,2,0
2003_90,10,2,0
2003_91,0,0,0
2003_92,5,6,0
2003_93,1,6,0
2003_94,17,3,0
2003_95,4,3,0
2003_96,0,1,0
2003_97,20,2,0
2003_98,4,0,0
2003_99,2,0,0
2003_100,25,1,0
2003_101,83,1,0
2003_102,9,0,0
2003_103,1,0,0
2003_104,15,0,0
2003_105,0,0,0
2003_106,61,0,0
2003_107,5,2,0
2003_108,71,0,0
2003_109,66,0,0
2003_110,3,0,0
2003_111,3,1,0
2003_112,3,2,0
2003_113,32,3,1
2003_114,19,4,0
2003_115,24,34,0
2003_116,24,16,0
2003_117,2,1,0
2003_118,0,3,1
2003_119,1,0,0
2003_120,13,3,1
2003_121,39,3,2
2003_122,17,4,0
2003_123,0,1,1
2003_124,2,3,0
2003_125,1,12,1
2003_126,53,10,1
2003_127,10,20,0
2003_128,54,4,0
2003_129,0,3,0
2003_130,0,2,0
2003_131,0,5,3
2003_132,4,4,0
2003_133,11,0,0
2003_134,34,1,0
2003_135,47,0,0
2003_136,14,1,0
2003_137,17,0,0
2003_138,4,3,0
2003_139,7,0,0
2003_140,16,0,0
2003_141,1,0,0
2003_142,6,0,0
2003_143,7,6,0
2003_144,0,0,0
2003_145,4,1,0
2003_146,6,2,0
2003_147,5,2,0
2003_148,62,9,0
2003_149,10,1,0
2003_150,3,9,0
2003_151,15,4,0
2003_152,18,1,0
2003_153,7,1,0
2003_154,1,7,0
2003_155,3,22,0
2003_156,0,2,0
2003_157,1,5,0
2003_158,0,4,0
2003_159,47,1,1
2003_160,0,26,0
2003_161,0,16,0
2003_162,2,3,1
2003_163,18,0,1
2003_164,54,5,0
2003_165,18,2,0
2003_166,0,5,0
2003_167,0,20,1
2003_168,14,9,0
2003_169,2,0,0
2003_170,5,1,0
2003_171,3,1,0
2003_172,6,1,0
2003_173,0,13,0
2003_174,2,0,0
2003_175,3,0,0
2003_176,0,4,7
2003_177,0,0,2
2003_178,0,9,3
2003_179,0,0,4
2003_180,22,1,7
2003_181,0,3,11
2003_182,1,2,3
2003_183,11,2,5
2003_184,9,1,11
2003_185,0,0,5
2003_186,26,1,5
2003_187,27,2,5
2003_188,22,6,3
2003_189,4,3,1
2003_190,6,0,2
2003_191,13,0,3
2003_192,4,4,1
2003_193,1,1,8
2003_194,8,0,6
2003_195,5,2,2
2003_196,6,0,4
2003_197,11,2,5
2004_1,68,1,0
2004_2,6,12,0
2004_3,16,4,1
2004_4,10,1,0
2004_5,11,2,0
2004_6,2,0,0
2004_7,0,2,1
2004_8,6,1,2
2004_9,4,1,0
2004_10,12,0,6
2004_11,39,5,0
2004_12,10,2,0
2004_13,29,2,0
2004_14,34,0,0
2004_15,20,20,0
2004_16,18,3,3
2004_17,2,1,0
2004_18,18,2,0
2004_19,15,0,0
2004_20,2,2,6
2004_21,7,1,1
2004_22,16,6,1
2004_23,10,1,0
2004_24,7,1,23
2004_25,11,2,0
2004_26,39,1,0
2004_27,0,0,0
2004_28,1,4,0
2004_29,9,7,0
2004_30,37,17,0
2004_31,13,1,4
2004_32,5,1,0
2004_33,22,12,0
2004_34,21,2,0
2004_35,0,6,0
2004_36,2,23,0
2004_37,6,6,0
2004_38,19,4,0
2004_39,11,3,0
2004_40,9,3,0
2004_41,6,3,0
2004_42,5,6,0
2004_43,0,6,1
2004_44,33,1,0
2004_45,8,4,1
2004_46,1,24,0
2004_47,49,0,0
2004_48,9,0,8
2004_49,27,0,0
2004_50,2,2,0
2004_51,20,0,0
2004_52,25,0,0
2004_53,47,2,2
2004_54,12,34,0
2004_55,25,10,0
2004_56,16,1,0
2004_57,9,6,0
2004_58,25,2,0
2004_59,8,1,4
2004_60,6,3,0
2004_61,27,1,0
2004_62,7,1,0
2004_63,10,2,3
2004_64,3,2,0
2004_65,6,3,1
2004_66,14,2,0
2004_67,28,2,0
2004_68,14,1,0
2004_69,0,2,5
2004_70,0,0,0
2004_71,3,10,0
2004_72,8,2,0
2004_73,12,4,0
2004_74,35,1,1
2004_75,6,19,1
2004_76,31,0,0
2004_77,41,2,0
2004_78,11,1,0
2004_79,21,1,0
2004_80,9,3,5
2004_81,2,3,3
2004_82,46,5,0
2004_83,7,5,1
2004_84,5,2,0
2004_85,10,3,0
2004_86,4,3,1
2004_87,1,1,0
2004_88,34,3,0
2004_89,17,1,0
2004_90,4,0,0
2004_91,15,2,1
2004_92,0,1,0
2004_93,11,1,0
2004_94,9,0,6
2004_95,9,0,1
2004_96,5,1,0
2004_97,7,8,0
2004_98,1,4,0
2004_99,0,3,0
2004_100,3,0,0
2004_101,47,1,0
2004_102,0,4,0
2004_103,41,4,0
2004_104,13,0,0
2004_105,52,14,0
2004_106,15,1,2
2004_107,0,0,0
2004_108,12,1,0
2004_109,17,5,0
2004_110,11,0,0
2004_111,9,0,0
2004_112,11,1,2
2004_113,40,2,0
2004_114,3,0,1
2004_115,1,0,0
2004_116,9,1,12
2004_117,2,3,4
2004_118,12,0,7
2004_119,2,0,3
2004_120,1,6,0
2004_121,11,3,0
2004_122,5,3,0
2004_123,36,4,0
2004_124,47,5,1
2004_125,35,5,1
2004_126,0,0,0
2004_127,24,0,0
2004_128,14,3,5
2004_129,13,9,4
2004_130,12,3,5
2004_131,11,2,1
2004_132,28,4,0
2004_133,2,16,0
2004_134,2,25,1
2004_135,9,0,0
2004_136,5,0,0
2004_137,10,0,2
2004_138,10,1,2
2004_139,90,1,0
2004_140,29,7,0
2004_141,33,0,0
2004_142,9,6,0
2004_143,0,0,0
2004_144,0,16,2
2004_145,33,3,1
2004_146,69,8,0
2004_147,1,0,0
2004_148,4,5,0
2004_149,2,1,0
2004_150,23,4,0
2004_151,0,1,0
2004_152,16,12,0
2004_153,2,3,0
2004_154,3,0,0
2004_155,1,1,0
2004_156,20,2,0
2004_157,50,18,1
2004_158,1,0,0
2004_159,34,4,7
2004_160,0,5,0
2004_161,6,3,0
2004_162,11,0,0
2004_163,10,13,2
2004_164,1,1,0
2004_165,9,0,0
2004_166,65,2,0
2004_167,19,7,0
2004_168,3,0,1
2004_169,7,4,0
2004_170,10,9,3
2004_171,5,0,2
2004_172,8,0,1
2004_173,55,6,0
2004_174,7,2,0
2004_175,64,2,0
2004_176,2,6,0
2004_177,18,0,0
2004_178,9,0,0
2004_179,17,3,2
2004_180,20,3,4
2004_181,1,16,0
2004_182,1,0,0
2004_183,30,2,1
2004_184,11,0,3
2004_185,5,0,0
2004_186,10,1,0
2004_187,12,0,0
2004_188,11,2,0
2004_189,31,5,0
2004_190,32,5,2
2004_191,14,6,0
2004_192,6,3,1
2004_193,63,3,0
2004_194,20,6,1
2004_195,1,3,5
2004_196,24,3,0
2004_197,8,2,0
2004_198,6,0,0
2004_199,3,3,2
2004_200,4,1,0
2004_201,6,1,14
2004_202,1,1,0
2004_203,9,1,0
2004_204,0,0,3
2004_205,7,0,0
2004_206,22,0,0
2005_1,0,0,1
2005_2,1,11,0
2005_3,34,3,0
2005_4,0,1,0
2005_5,4,15,5
2005_6,6,3,0
2005_7,0,0,0
2005_8,0,3,2
